iter	Logloss
0	0.6649666374
1	0.6369504484
2	0.6136608317
3	0.5961580412
4	0.5768573753
5	0.5609789494
6	0.5462578392
7	0.5337718786
8	0.5224289343
9	0.5133216038
10	0.5062085629
11	0.50079095
12	0.4931699432
13	0.4867243274
14	0.4805982485
15	0.4758177287
16	0.4710600507
17	0.466418748
18	0.4628276709
19	0.459261695
20	0.4564633321
21	0.4537986152
22	0.4513593445
23	0.4492613075
24	0.4467339506
25	0.4446273711
26	0.4420018689
27	0.4396480537
28	0.4374982358
29	0.4358812994
30	0.4341121774
31	0.4322986719
32	0.4309232453
33	0.4292660108
34	0.4279907722
35	0.4272236234
36	0.426529333
37	0.4255167437
38	0.4244144587
39	0.4230177688
40	0.4223653859
41	0.4215752716
42	0.4207129798
43	0.4198455811
44	0.4189401128
45	0.4183669023
46	0.4178745974
47	0.4172870876
48	0.4166098511
49	0.4160831289
50	0.4154869219
51	0.4148959146
52	0.4145078524
53	0.4137691784
54	0.4133141075
55	0.4128326973
56	0.4124190696
57	0.411952454
58	0.4116101371
59	0.4112060423
60	0.4108198061
61	0.410376837
62	0.4098265921
63	0.4093160571
64	0.409004784
65	0.4087720024
66	0.4083891399
67	0.4081817998
68	0.4079815476
69	0.4077037633
70	0.4073214889
71	0.4070346979
72	0.4066873051
73	0.406248081
74	0.4058401793
75	0.405613464
76	0.4053546836
77	0.4050421105
78	0.4046676667
79	0.4044673835
80	0.4041245404
81	0.4038830616
82	0.4037646125
83	0.4035220504
84	0.4033739813
85	0.403315608
86	0.4030503279
87	0.4027487734
88	0.4025609324
89	0.402353221
90	0.402146469
91	0.4019052378
92	0.4017230608
93	0.4014293678
94	0.4013549928
95	0.4010693471
96	0.4009689733
97	0.400837494
98	0.4007231614
99	0.4004243615
100	0.4002000294
101	0.4000612766
102	0.3999533508
103	0.3998679883
104	0.3996309663
105	0.3995442419
106	0.3993774785
107	0.3990706314
108	0.3989754884
109	0.3987774027
110	0.3987106107
111	0.398584331
112	0.3983881024
113	0.3983307194
114	0.3981980949
115	0.3980200344
116	0.397888555
117	0.3977753985
118	0.397621944
119	0.3974562949
120	0.3973929074
121	0.3973212252
122	0.3971689468
123	0.397051581
124	0.3969973551
125	0.3968551048
126	0.3966988647
127	0.3966238707
128	0.3965576358
129	0.3964727375
130	0.3962994434
131	0.3961191545
132	0.396015469
133	0.3958010412
134	0.395644244
135	0.3954703
136	0.3954169716
137	0.3953060746
138	0.3952499916
139	0.3950957323
140	0.3950029725
141	0.3948718336
142	0.3947726979
143	0.3945442184
144	0.3943204125
145	0.3942027682
146	0.3940786861
147	0.3938677558
148	0.3937920808
149	0.3936875597
150	0.3935500449
151	0.3933072042
152	0.3931435049
153	0.3930091162
154	0.392864916
155	0.39271109
156	0.3925621234
157	0.3924663304
158	0.3923012383
159	0.3921929102
160	0.3920263944
161	0.3919470982
162	0.3917114072
163	0.3915721901
164	0.3914430939
165	0.3913233759
166	0.3911573553
167	0.3910739736
168	0.3909631694
169	0.3908282545
170	0.3906348424
171	0.3904561938
172	0.3902704885
173	0.3901742931
174	0.3901022395
175	0.3900018038
176	0.3898295312
177	0.3896775932
178	0.3895129345
179	0.3894440688
180	0.3892541851
181	0.3890870502
182	0.3890073827
183	0.3889348957
184	0.3888129492
185	0.3887215202
186	0.3886317936
187	0.3885957977
188	0.3885221965
189	0.3883772844
190	0.3883270511
191	0.3882361484
192	0.3880771227
193	0.3878858462
194	0.3877572762
195	0.3876711089
196	0.3875845083
197	0.3874346441
198	0.3874030123
199	0.3873331252
200	0.3872139952
201	0.3871828896
202	0.3870633572
203	0.3869526768
204	0.3867908346
205	0.386704234
206	0.3865585791
207	0.3864783235
208	0.3864045366
209	0.3862538057
210	0.3861301569
211	0.3860586913
212	0.3859223217
213	0.3857960111
214	0.3857295595
215	0.3856061274
216	0.3854530133
217	0.3852331073
218	0.3851962757
219	0.3850625059
220	0.3849265696
221	0.3848594991
222	0.3847584444
223	0.384626346
224	0.3845591516
225	0.3844980855
226	0.3843619325
227	0.3842667895
228	0.3839894386
229	0.3837886601
230	0.3837316795
231	0.3837059284
232	0.383613571
233	0.3835819391
234	0.3835220182
235	0.3833992979
236	0.383271347
237	0.3832420365
238	0.3831760492
239	0.383126961
240	0.3830815251
241	0.3830225637
242	0.3829351584
243	0.3828018529
244	0.3826824134
245	0.3826290231
246	0.38257424
247	0.3823610503
248	0.3823093623
249	0.3822124551
250	0.38211041
251	0.3820632408
252	0.3818840971
253	0.3818203383
254	0.3817214192
255	0.3816419373
256	0.3815212288
257	0.3814632888
258	0.3813001157
259	0.3812309714
260	0.3811254908
261	0.3811080964
262	0.381060432
263	0.380980981
264	0.3808326644
265	0.3806426878
266	0.3805243316
267	0.3804172415
268	0.3803708461
269	0.3803238627
270	0.3802124395
271	0.3801651156
272	0.3800417144
273	0.3799286508
274	0.3798901169
275	0.3798115635
276	0.3797610207
277	0.3795360387
278	0.3794479525
279	0.3793443599
280	0.3791394959
281	0.3790303631
282	0.3789511288
283	0.3788455244
284	0.3787111356
285	0.3786416199
286	0.3785316204
287	0.3782928653
288	0.3781856514
289	0.3781036006
290	0.3779156667
291	0.3777459011
292	0.3776610338
293	0.3774475036
294	0.3773806187
295	0.3772458895
296	0.3772055605
297	0.3771605579
298	0.3771204455
299	0.3770326069
300	0.3769185838
301	0.3768104104
302	0.3767317333
303	0.376658782
304	0.3765747194
305	0.3764575084
306	0.3764004659
307	0.3763200555
308	0.3762096227
309	0.3761044516
310	0.3759258649
311	0.3757412429
312	0.3756538685
313	0.3756180274
314	0.3754278961
315	0.3753511688
316	0.3753136563
317	0.3751307056
318	0.3749800676
319	0.3749616828
320	0.3749176706
321	0.3749002453
322	0.3748087854
323	0.3747117853
