iter	Passed	Remaining
0	10	10182
1	17	8783
2	22	7387
3	28	7038
4	30	6167
5	34	5693
6	37	5263
7	43	5448
8	50	5597
9	55	5458
10	59	5376
11	67	5535
12	73	5557
13	76	5378
14	84	5563
15	94	5817
16	100	5806
17	104	5678
18	106	5484
19	110	5410
20	114	5357
21	120	5349
22	126	5373
23	129	5256
24	132	5169
25	136	5094
26	138	5005
27	146	5075
28	149	4995
29	152	4920
30	154	4840
31	158	4792
32	161	4724
33	166	4720
34	169	4685
35	172	4618
36	175	4555
37	177	4497
38	180	4437
39	182	4380
40	185	4349
41	189	4312
42	191	4264
43	194	4220
44	197	4188
45	199	4144
46	202	4112
47	205	4071
48	207	4036
49	211	4015
50	214	3988
51	216	3950
52	220	3932
53	222	3906
54	227	3905
55	230	3884
56	233	3857
57	236	3833
58	241	3846
59	244	3825
60	246	3799
61	251	3803
62	254	3780
63	256	3756
64	259	3738
65	263	3733
66	266	3714
67	269	3689
68	271	3666
69	274	3644
70	276	3622
71	279	3600
72	282	3584
73	285	3568
74	288	3560
75	291	3544
76	294	3525
77	296	3507
78	299	3488
79	303	3485
80	305	3468
81	308	3454
82	311	3436
83	313	3419
84	316	3404
85	318	3384
86	321	3370
87	323	3353
88	326	3337
89	328	3325
90	331	3309
91	335	3309
92	338	3300
93	341	3291
94	344	3286
95	348	3283
96	352	3279
97	357	3286
98	360	3279
99	364	3278
100	372	3313
101	376	3312
102	379	3307
103	382	3297
104	385	3284
105	388	3272
106	390	3260
107	393	3251
108	396	3239
109	399	3230
110	402	3226
111	405	3217
112	408	3208
113	411	3196
114	413	3185
115	416	3173
116	418	3160
117	421	3149
118	423	3138
119	426	3126
120	428	3114
121	431	3106
122	434	3094
123	436	3082
124	438	3071
125	441	3060
126	449	3087
127	454	3095
128	461	3113
129	472	3161
130	478	3173
131	482	3175
132	489	3192
133	499	3229
134	511	3275
135	517	3288
136	525	3307
137	531	3321
138	537	3329
139	540	3317
140	546	3326
141	548	3316
142	551	3304
143	554	3296
144	557	3288
145	560	3277
146	564	3275
147	576	3316
148	585	3345
149	591	3352
150	595	3348
151	597	3333
152	599	3318
153	602	3310
154	611	3331
155	614	3325
156	617	3313
157	620	3306
158	625	3309
159	628	3299
160	631	3291
161	639	3307
162	645	3314
163	648	3307
164	652	3299
165	655	3294
166	658	3283
167	660	3272
168	663	3262
169	666	3251
170	669	3245
171	672	3235
172	675	3230
173	680	3229
174	684	3225
175	690	3232
176	710	3302
177	713	3295
178	719	3299
179	723	3294
180	726	3286
181	729	3278
182	734	3277
183	740	3283
184	751	3310
185	756	3310
186	766	3330
187	772	3334
188	776	3330
189	787	3357
190	790	3347
191	794	3343
192	802	3353
193	804	3344
194	808	3336
195	811	3327
196	818	3335
197	820	3324
198	823	3313
199	826	3306
200	832	3308
201	835	3300
202	838	3291
203	840	3281
204	843	3272
205	849	3273
206	852	3265
207	855	3258
208	858	3249
209	866	3259
210	869	3250
211	874	3249
212	879	3248
213	882	3241
214	888	3244
215	894	3248
216	900	3248
217	904	3244
218	909	3241
219	912	3234
220	918	3237
221	924	3240
222	928	3234
223	932	3231
224	938	3233
225	942	3226
226	945	3218
227	954	3231
228	957	3223
229	959	3213
230	964	3210
231	968	3204
232	972	3201
233	975	3192
234	979	3187
235	983	3183
236	986	3176
237	989	3167
238	992	3160
239	998	3161
240	1006	3170
241	1011	3168
242	1015	3162
243	1020	3162
244	1024	3156
245	1027	3149
246	1030	3141
247	1034	3137
248	1039	3135
249	1043	3129
250	1051	3136
251	1055	3133
252	1058	3125
253	1063	3123
254	1065	3114
255	1069	3106
256	1072	3100
257	1075	3093
258	1078	3085
259	1083	3082
260	1089	3084
261	1093	3080
262	1096	3073
263	1099	3064
264	1103	3059
265	1106	3051
266	1108	3044
267	1114	3044
268	1118	3040
269	1121	3033
270	1129	3037
271	1137	3043
272	1142	3042
273	1145	3034
274	1148	3026
275	1153	3025
276	1162	3033
277	1171	3041
278	1174	3033
279	1176	3025
280	1179	3018
281	1182	3010
282	1184	3001
283	1188	2997
284	1194	2995
285	1196	2988
286	1199	2979
287	1202	2974
288	1211	2980
289	1214	2974
290	1217	2967
291	1220	2959
292	1223	2952
293	1231	2956
294	1238	2960
295	1249	2971
296	1252	2963
297	1255	2958
298	1260	2954
299	1263	2949
300	1266	2941
301	1269	2933
302	1272	2926
303	1275	2919
304	1278	2912
305	1280	2904
306	1283	2896
307	1286	2889
308	1289	2882
309	1292	2876
310	1294	2868
311	1297	2862
312	1300	2854
313	1303	2847
314	1306	2840
315	1309	2834
316	1313	2830
317	1316	2823
318	1318	2815
319	1322	2810
320	1325	2803
321	1329	2798
322	1332	2792
323	1335	2787
324	1338	2780
325	1342	2775
326	1345	2770
327	1349	2765
328	1353	2759
329	1356	2753
330	1359	2748
331	1363	2742
332	1382	2769
333	1387	2766
334	1408	2796
335	1423	2812
336	1426	2806
337	1433	2806
338	1442	2813
339	1450	2816
340	1453	2809
341	1457	2804
342	1461	2799
343	1467	2799
344	1472	2795
345	1474	2787
346	1477	2780
347	1482	2777
348	1490	2779
349	1492	2772
350	1495	2765
351	1498	2759
352	1501	2752
353	1507	2751
354	1511	2745
355	1513	2738
356	1516	2731
357	1519	2724
358	1521	2717
359	1524	2710
360	1529	2706
361	1531	2699
362	1538	2700
363	1542	2694
364	1545	2688
365	1548	2681
366	1550	2674
367	1553	2667
368	1555	2660
369	1558	2654
370	1561	2647
371	1567	2646
372	1573	2644
373	1577	2640
374	1581	2636
375	1586	2633
376	1589	2626
377	1592	2620
378	1595	2614
379	1601	2613
380	1606	2609
381	1616	2615
382	1624	2617
383	1629	2614
384	1633	2609
385	1636	2603
386	1639	2597
387	1643	2592
388	1647	2588
389	1650	2582
390	1655	2578
391	1658	2572
392	1661	2565
393	1665	2561
394	1668	2555
395	1671	2548
396	1674	2544
397	1678	2539
398	1682	2534
399	1685	2528
400	1688	2521
401	1691	2515
402	1694	2510
403	1699	2506
404	1702	2501
405	1706	2496
406	1709	2491
407	1712	2485
408	1716	2480
409	1720	2475
410	1723	2469
411	1727	2465
412	1732	2463
413	1735	2456
414	1740	2453
415	1743	2447
416	1746	2441
417	1749	2435
418	1752	2429
419	1754	2423
420	1757	2417
421	1760	2411
422	1763	2405
423	1766	2399
424	1768	2393
425	1771	2387
426	1774	2381
427	1777	2374
428	1779	2368
429	1782	2362
430	1784	2356
431	1787	2350
432	1791	2346
433	1794	2340
434	1799	2337
435	1804	2333
436	1808	2329
437	1811	2323
438	1822	2329
439	1830	2330
440	1839	2331
441	1847	2332
442	1851	2328
443	1854	2322
444	1858	2318
445	1862	2313
446	1867	2310
447	1872	2307
448	1875	2301
449	1878	2296
450	1881	2290
451	1885	2285
452	1888	2280
453	1891	2274
454	1895	2270
455	1899	2266
456	1902	2260
457	1905	2254
458	1908	2248
459	1911	2243
460	1915	2239
461	1919	2235
462	1922	2229
463	1925	2224
464	1929	2219
465	1933	2215
466	1936	2209
467	1939	2204
468	1942	2198
469	1945	2193
470	1949	2189
471	1952	2184
472	1955	2179
473	1959	2174
474	1963	2170
475	1966	2164
476	1972	2162
477	1976	2157
478	1979	2152
479	1984	2149
480	1987	2144
481	1991	2139
482	1993	2134
483	1998	2130
484	2001	2125
485	2005	2121
486	2008	2115
487	2011	2110
488	2016	2106
489	2019	2101
490	2021	2095
491	2025	2091
492	2028	2086
493	2032	2081
494	2042	2083
495	2046	2079
496	2054	2079
497	2057	2074
498	2062	2070
499	2065	2065
500	2068	2060
501	2071	2054
502	2074	2049
503	2077	2044
504	2080	2039
505	2084	2034
506	2087	2029
507	2090	2024
508	2094	2020
509	2097	2015
510	2101	2011
511	2104	2006
512	2107	2000
513	2111	1996
514	2116	1993
515	2119	1987
516	2121	1982
517	2124	1976
518	2127	1971
519	2129	1966
520	2132	1960
521	2135	1955
522	2139	1951
523	2142	1946
524	2145	1941
525	2148	1935
526	2151	1930
527	2153	1925
528	2157	1920
529	2159	1915
530	2163	1910
531	2165	1905
532	2168	1900
533	2172	1895
534	2180	1895
535	2184	1891
536	2187	1885
537	2191	1881
538	2194	1876
539	2197	1871
540	2199	1866
541	2205	1863
542	2208	1858
543	2211	1853
544	2214	1848
545	2217	1843
546	2222	1840
547	2228	1838
548	2232	1834
549	2235	1829
550	2238	1824
551	2241	1818
552	2246	1815
553	2249	1810
554	2252	1805
555	2255	1800
556	2259	1797
557	2263	1792
558	2267	1789
559	2270	1784
560	2273	1779
561	2276	1774
562	2280	1769
563	2285	1766
564	2288	1761
565	2291	1757
566	2294	1752
567	2300	1749
568	2302	1744
569	2306	1739
570	2310	1736
571	2314	1731
572	2317	1727
573	2320	1722
574	2326	1719
575	2330	1715
576	2334	1711
577	2339	1708
578	2346	1705
579	2349	1701
580	2354	1697
581	2359	1694
582	2362	1689
583	2367	1686
584	2374	1684
585	2378	1680
586	2382	1676
587	2387	1673
588	2391	1669
589	2395	1664
590	2398	1660
591	2401	1655
592	2404	1650
593	2407	1645
594	2410	1640
595	2416	1637
596	2419	1633
597	2423	1628
598	2427	1625
599	2431	1620
600	2436	1617
601	2440	1613
602	2444	1609
603	2449	1606
604	2452	1601
605	2456	1597
606	2460	1592
607	2466	1590
608	2470	1586
609	2474	1582
610	2478	1578
611	2484	1575
612	2491	1572
613	2495	1568
614	2498	1563
615	2502	1560
616	2507	1556
617	2510	1551
618	2513	1546
619	2515	1541
620	2518	1536
621	2521	1532
622	2524	1527
623	2526	1522
624	2529	1517
625	2532	1512
626	2538	1510
627	2542	1506
628	2546	1501
629	2552	1499
630	2558	1496
631	2562	1492
632	2567	1488
633	2574	1486
634	2580	1483
635	2584	1479
636	2588	1474
637	2594	1471
638	2597	1467
639	2603	1464
640	2608	1461
641	2611	1456
642	2614	1451
643	2618	1447
644	2622	1443
645	2627	1439
646	2629	1434
647	2634	1430
648	2637	1426
649	2641	1422
650	2650	1420
651	2653	1416
652	2656	1411
653	2659	1406
654	2662	1402
655	2665	1398
656	2671	1394
657	2675	1390
658	2679	1386
659	2684	1382
660	2687	1378
661	2691	1374
662	2694	1369
663	2706	1369
664	2711	1365
665	2717	1362
666	2721	1358
667	2723	1353
668	2729	1350
669	2733	1346
670	2736	1341
671	2740	1337
672	2743	1332
673	2746	1328
674	2748	1323
675	2752	1319
676	2755	1314
677	2761	1311
678	2763	1306
679	2766	1302
680	2772	1298
681	2777	1294
682	2779	1290
683	2782	1285
684	2786	1281
685	2790	1277
686	2797	1274
687	2802	1270
688	2806	1266
689	2811	1262
690	2814	1258
691	2820	1255
692	2823	1250
693	2826	1246
694	2831	1242
695	2834	1237
696	2837	1233
697	2840	1229
698	2844	1224
699	2847	1220
700	2850	1215
701	2855	1212
702	2858	1207
703	2861	1203
704	2865	1198
705	2868	1194
706	2870	1189
707	2873	1185
708	2879	1181
709	2882	1177
710	2885	1172
711	2889	1168
712	2893	1164
713	2895	1159
714	2900	1156
715	2903	1151
716	2906	1147
717	2909	1142
718	2913	1138
719	2917	1134
720	2920	1130
721	2924	1126
722	2928	1121
723	2931	1117
724	2934	1113
725	2938	1109
726	2941	1104
727	2945	1100
728	2948	1096
729	2951	1091
730	2954	1087
731	2957	1082
732	2960	1078
733	2965	1074
734	2968	1070
735	2971	1065
736	2975	1061
737	2978	1057
738	2983	1053
739	2986	1049
740	2991	1045
741	2995	1041
742	2998	1037
743	3001	1032
744	3005	1028
745	3009	1024
746	3013	1020
747	3020	1017
748	3023	1013
749	3026	1008
750	3033	1005
751	3036	1001
752	3039	997
753	3042	992
754	3046	988
755	3048	984
756	3055	980
757	3058	976
758	3064	972
759	3074	970
760	3078	966
761	3081	962
762	3086	958
763	3089	954
764	3092	949
765	3094	945
766	3097	940
767	3100	936
768	3102	932
769	3105	927
770	3108	923
771	3111	919
772	3118	915
773	3123	912
774	3127	907
775	3132	904
776	3136	900
777	3141	896
778	3143	891
779	3146	887
780	3150	883
781	3153	879
782	3157	874
783	3161	870
784	3163	866
785	3166	862
786	3169	857
787	3172	853
788	3177	849
789	3179	845
790	3184	841
791	3188	837
792	3192	833
793	3195	829
794	3198	824
795	3202	820
796	3205	816
797	3208	812
798	3212	808
799	3216	804
800	3219	799
801	3222	795
802	3226	791
803	3228	787
804	3232	782
805	3235	778
806	3237	774
807	3240	770
808	3243	765
809	3249	762
810	3252	757
811	3256	754
812	3260	750
813	3263	745
814	3266	741
815	3269	737
816	3272	733
817	3275	728
818	3279	724
819	3284	721
820	3287	716
821	3290	712
822	3293	708
823	3297	704
824	3301	700
825	3304	696
826	3307	691
827	3310	687
828	3312	683
829	3316	679
830	3319	675
831	3322	670
832	3325	666
833	3330	662
834	3333	658
835	3336	654
836	3339	650
837	3343	646
838	3346	642
839	3350	638
840	3352	633
841	3355	629
842	3359	625
843	3362	621
844	3365	617
845	3368	613
846	3371	608
847	3374	604
848	3377	600
849	3379	596
850	3382	592
851	3385	588
852	3387	583
853	3390	579
854	3393	575
855	3395	571
856	3398	567
857	3400	562
858	3403	558
859	3406	554
860	3409	550
861	3411	546
862	3414	542
863	3417	538
864	3422	534
865	3428	530
866	3431	526
867	3435	522
868	3440	518
869	3446	514
870	3451	511
871	3456	507
872	3462	503
873	3466	499
874	3470	495
875	3473	491
876	3477	487
877	3483	484
878	3487	480
879	3493	476
880	3498	472
881	3502	468
882	3506	464
883	3511	460
884	3517	457
885	3520	452
886	3524	448
887	3528	445
888	3535	441
889	3539	437
890	3542	433
891	3547	429
892	3550	425
893	3553	421
894	3557	417
895	3563	413
896	3569	409
897	3574	405
898	3578	402
899	3582	398
900	3588	394
901	3592	390
902	3598	386
903	3602	382
904	3606	378
905	3609	374
906	3611	370
907	3614	366
908	3617	362
909	3620	358
910	3623	353
911	3625	349
912	3628	345
913	3631	341
914	3634	337
915	3637	333
916	3641	329
917	3644	325
918	3648	321
919	3651	317
920	3654	313
921	3657	309
922	3660	305
923	3663	301
924	3665	297
925	3668	293
926	3672	289
927	3675	285
928	3679	281
929	3682	277
930	3686	273
931	3689	269
932	3692	265
933	3695	261
934	3699	257
935	3702	253
936	3706	249
937	3710	245
938	3715	241
939	3718	237
940	3720	233
941	3723	229
942	3726	225
943	3729	221
944	3732	217
945	3737	213
946	3740	209
947	3744	205
948	3750	201
949	3759	197
950	3764	193
951	3773	190
952	3784	186
953	3790	182
954	3795	178
955	3801	174
956	3805	170
957	3808	166
958	3810	162
959	3815	158
960	3818	154
961	3821	150
962	3824	146
963	3827	142
964	3830	138
965	3833	134
966	3837	130
967	3839	126
968	3843	122
969	3847	118
970	3849	114
971	3852	110
972	3855	106
973	3858	103
974	3862	99
975	3865	95
976	3868	91
977	3871	87
978	3875	83
979	3878	79
